"Geography","Year","Question Code","Question Text","Response Category","Response Variable","Gender","Value"
"Costa Rica",2020,"A.6","How much do you agree or disagree with the following statement? 'Men and women should have equal opportunities (e.g. in education, jobs, household decision-making).'","Strongly Agree/Agree","a1_agree","male",91.00
"Costa Rica",2020,"A.6","How much do you agree or disagree with the following statement? 'Men and women should have equal opportunities (e.g. in education, jobs, household decision-making).'","Strongly Agree/Agree","a1_agree","female",91.00
"Costa Rica",2020,"A.6","How much do you agree or disagree with the following statement? 'Men and women should have equal opportunities (e.g. in education, jobs, household decision-making).'","Strongly Agree/Agree","a1_agree","combined",91.00
"Costa Rica",2020,"A.6","How much do you agree or disagree with the following statement? 'Men and women should have equal opportunities (e.g. in education, jobs, household decision-making).'","Strongly Disagree/Disagree","a1_disagree","male",7.00
"Costa Rica",2020,"A.6","How much do you agree or disagree with the following statement? 'Men and women should have equal opportunities (e.g. in education, jobs, household decision-making).'","Strongly Disagree/Disagree","a1_disagree","female",8.00
"Costa Rica",2020,"A.6","How much do you agree or disagree with the following statement? 'Men and women should have equal opportunities (e.g. in education, jobs, household decision-making).'","Strongly Disagree/Disagree","a1_disagree","combined",8.00
"Costa Rica",2020,"A.6","How much do you agree or disagree with the following statement? 'Men and women should have equal opportunities (e.g. in education, jobs, household decision-making).'","Neutral","a1_neutral","male",2.00
"Costa Rica",2020,"A.6","How much do you agree or disagree with the following statement? 'Men and women should have equal opportunities (e.g. in education, jobs, household decision-making).'","Neutral","a1_neutral","female",1.00
"Costa Rica",2020,"A.6","How much do you agree or disagree with the following statement? 'Men and women should have equal opportunities (e.g. in education, jobs, household decision-making).'","Neutral","a1_neutral","combined",1.00
"Costa Rica",2020,"A.7","During the last 12 months, which of the following -most closely- reflects your current financial situation?","Does not fully cover own expenses","b3_dependent","male",35.00
"Costa Rica",2020,"A.7","During the last 12 months, which of the following -most closely- reflects your current financial situation?","Does not fully cover own expenses","b3_dependent","female",61.00
"Costa Rica",2020,"A.7","During the last 12 months, which of the following -most closely- reflects your current financial situation?","Does not fully cover own expenses","b3_dependent","combined",49.00
