stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,in,type
1,,Estadio do Dragao,,41.160716,-8.582416,PRT1,,True,metro
2,,Campanha,,41.150537,-8.586245,PRT1,,True,metro
3,,Heroismo,,41.146697,-8.592978,PRT1,,True,metro
4,,24 de Agosto,,41.148796,-8.598349,PRT1,,True,metro
5,,Bolhao,,41.149785,-8.605901,PRT1,,True,metro
6,,Trindade,,41.152277,-8.609299,PRT1,,True,metro
7,,Lapa,,41.157107,-8.616723,PRT1,,True,metro
8,,Carolina Michaelis,,41.158585,-8.622246,PRT1,,True,metro
9,,Casa da Musica,,41.160575,-8.628282,PRT1,,True,metro
10,,Francos,,41.165549,-8.636347,PRT1,,True,metro
11,,Ramalde,,41.172962,-8.641766,PRT2,,True,metro
12,,Via Rapida Viso,,41.177255,-8.646498,PRT2,,True,metro
60,,Sao Bento,,41.144938,-8.610815,PRT1,,True,metro
61,,Aliados,,41.148581,-8.610945,PRT1,,True,metro
62,,Faria Guimaraes,,41.157219,-8.609141,PRT1,,True,metro
63,,Marques,,41.161123,-8.604272,PRT1,,True,metro
64,,Combatentes,,41.165301,-8.598464,PRT1,,True,metro
65,,Salgueiros,,41.169684,-8.598744,PRT1,,True,metro
66,,Polo Universitario,,41.174247,-8.603607,PRT3,,True,metro
67,,I.P.O.,,41.181253,-8.604521,PRT3,,True,metro
68,,Hospital de Sao Joao,,41.18326,-8.60224,PRT3,,True,metro
71,,Batalha,,41.143277,-8.608178,PRT1,,True,metro
72,,Ribeira,,41.140966,-8.609476,PRT1,,True,metro
73,,Contumil,,41.165712,-8.578639,PRT3,,True,metro
74,,Nasoni,,41.170767,-8.577317,PRT3,,True,metro
75,,Nau Vitoria,,41.174122,-8.573534,PRT3,,True,metro
PNV2,PNV2,PAULO NOVAIS,,41.1632255748862,-8.66008592151551,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PNV2,True,bus
RBSS1,RBSS1,ROT. DO BESSA,,41.1659174712262,-8.64043999869522,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RBSS1,True,bus
RBSS2,RBSS2,ROT. DO BESSA,,41.1645757705016,-8.63886218870307,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RBSS2,True,bus
EZC2,EZC2,EZEQUIEL CAMPOS,,41.1744018455506,-8.65405514999967,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=EZC2,True,bus
FTM1,FTM1,FONTE DA MOURA,,41.1645050753706,-8.66214428637694,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FTM1,True,bus
PRO2,PRO2,PEREIRÓ,,41.1724829236104,-8.65566831359889,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PRO2,True,bus
SDP1,SDP1,SIDÓNIO PAIS,,41.1645634959404,-8.63700356983206,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=SDP1,True,bus
MPAZ1,MPAZ1,MAN.P.AZEVEDO 1,,41.1727173293797,-8.64685605350771,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MPAZ1,True,bus
RAEP2,RAEP2,ROT. A.E.P.,,41.1783162166436,-8.65404309321578,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RAEP2,True,bus
PREC1,PREC1,PRECIOSA,,41.1774842956474,-8.65680134247858,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PREC1,True,bus
BMAF1,BMAF1,BEATA MAFALDA,,41.1651948100682,-8.57544247292475,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BMAF1,True,bus
BFAL2,BFAL2,BR. FALCÃO,,41.1589316063826,-8.57530731814519,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BFAL2,True,bus
LGT2,LGT2,LAGARTEIRO,,41.1517159630332,-8.56879801231881,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LGT2,True,bus
EDRG4,EDRG4,ESTÁDIO DO DRAGÃO,,41.1585502766285,-8.58387930401658,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=EDRG4,True,bus
VLC1,VLC1,VILA COVA,,41.1725261019998,-8.56750648037897,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=VLC1,True,bus
BNJ1,BNJ1,BONJÓIA,,41.1519958914076,-8.57472081242893,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BNJ1,True,bus
GDM1,GDM1,GODIM,,41.1529969720686,-8.59143812120255,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=GDM1,True,bus
ICAM2,ICAM2,IGREJA DE CAMPANHÃ,,41.155484172028,-8.57412835711773,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ICAM2,True,bus
ILH2,ILH2,ILHÉU,,41.163459654508,-8.57242474854225,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ILH2,True,bus
ANT1,ANT1,ANTAS (L. CIDADÃO),,41.165305556698,-8.58880550503584,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ANT1,True,bus
VRD2,VRD2,VARANDAS,,41.1421957068527,-8.58742526292748,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=VRD2,True,bus
BRCC1,BRCC1,BR. COSTA CABRAL,,41.1719558095221,-8.58564306925057,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRCC1,True,bus
FVLH2,FVLH2,FONTE VELHA,,41.1576073656917,-8.58682604381052,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FVLH2,True,bus
VNFZ2,VNFZ2,VILA NOVA FOZ CÔA,,41.161766178634,-8.56672523380975,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=VNFZ2,True,bus
PNG1,PNG1,PEGO NEGRO,,41.1591926802081,-8.56667474672459,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PNG1,True,bus
PNG2,PNG2,PEGO NEGRO,,41.1590434521004,-8.56649111652642,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PNG2,True,bus
FTC2,FTC2,FONTE DE CONTUMIL,,41.1684038036966,-8.58257239579764,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FTC2,True,bus
