lat,lon,node_name,node_type
41.1607731,-8.5922552,Scala,restaurant
41.160823,-8.5917705,Vitória,restaurant
41.1590503,-8.5975147,Barrigas,restaurant
41.166263,-8.5932339,Al Forno,restaurant
41.1656169,-8.5982894,Cidade,restaurant
41.1514604,-8.6765313,Cepa,restaurant
41.1668988,-8.5942605,Café Barcarola,restaurant
41.1516948,-8.677531,Varanda do Sol,restaurant
41.1409628,-8.6105907,Fish Fixe,restaurant
41.1408145,-8.610584,Mira Douro,restaurant
41.1404192,-8.6143526,Farol da Boa Nova,restaurant
41.1527924,-8.6743714,Paparazzi,restaurant
41.163136,-8.5920332,,restaurant
41.1717462,-8.6880125,,restaurant
41.1661133,-8.6873799,Buhle,restaurant
41.1662738,-8.5876962,Casa Ferraz,restaurant
41.1661513,-8.5881337,Restaurante Atleta,restaurant
41.1654039,-8.5882672,Pizza Hut,restaurant
41.1404543,-8.6149591,Adega São Nicolau,restaurant
41.148385,-8.5855181,,restaurant
41.1825416,-8.5967911,República de Churrasco,restaurant
41.1826663,-8.5968095,Arraial,restaurant
41.1566614,-8.6210111,A Pasta - Boavista,restaurant
41.1544512,-8.6309195,Convívio,restaurant
41.170598,-8.6445732,Oficina,restaurant
41.1435098,-8.6078107,Kanimambo,restaurant
41.1524498,-8.6304862,Restaurante Capa Negra II,restaurant
41.1804255,-8.5835897,Portuense,restaurant
41.1810919,-8.5837628,A Sport,restaurant
41.1785366,-8.5866426,,restaurant
41.1599726,-8.5923397,Caetano,restaurant
41.1616741,-8.602209,Amizade,restaurant
41.1468174,-8.6144802,La Bohème,restaurant
41.1487203,-8.6100613,Aquário Marisqueira,restaurant
41.1470699,-8.6103031,Flor dos Congregados,restaurant
41.14058,-8.6120079,Peza Arroz - Filha da Mãe Preta,restaurant
41.1401438,-8.615611,Mal Cozinhado,restaurant
41.1406911,-8.6134721,Postigo do Carvão,restaurant
41.1404967,-8.6139128,Ora Viva,restaurant
41.1406328,-8.6115355,Avó Maria,restaurant
41.1408881,-8.6117051,Marina,restaurant
41.14068,-8.6120914,Chez Lapin,restaurant
41.1407906,-8.6148368,Mamma Nostra,restaurant
41.1407688,-8.6117882,Armazém do Sal,restaurant
41.1400216,-8.615406,Vinas d'Alho,restaurant
41.1405679,-8.6149754,A Grade,restaurant
41.1419824,-8.6140455,Solar do Pátio,restaurant
41.1415849,-8.61439,Churrascaria do Infante,restaurant
41.1425293,-8.6119924,Pelourinho do Porto,attraction
41.1408361,-8.6107881,D. Tonho,restaurant
41.1412464,-8.6130276,Bzzz,restaurant
41.1405372,-8.6126371,Buraquinho,restaurant
41.1430772,-8.614577,Traça,restaurant
41.1459404,-8.6111604,Restaurante Astória,restaurant
41.1454375,-8.6130561,Fado das Castas,restaurant
41.14284,-8.615627,Casa Mariazinha,restaurant
41.1423108,-8.61744,O Fado,restaurant
41.1470952,-8.6089589,Icaraí,restaurant
41.145986,-8.609722,O Rápido,restaurant
41.1405715,-8.6134878,Paparocco,restaurant
41.140882,-8.6118767,Porta Larga,restaurant
41.1406253,-8.6120689,Ribeira Restaurante Bar,restaurant
41.1468578,-8.6171437,Zé Bota,restaurant
41.1441922,-8.616946,Rei dos Galos,restaurant
41.1415336,-8.6181774,Verso em Pedra,restaurant
41.1441785,-8.6222694,Azul,restaurant
41.1427626,-8.6124322,Casa da Mariquinhas,restaurant
41.1468428,-8.6022745,Roma,restaurant
41.1469845,-8.6024234,Paladar da Alma,restaurant
41.1593323,-8.6383638,PortoBeer,restaurant
41.1406941,-8.6119063,Canastra,restaurant
41.1422342,-8.6181251,Cometa,restaurant
41.1677884,-8.6456633,A Cunha Francesinhas,restaurant
41.1736286,-8.6553829,Casa Carvoeiro,restaurant
41.1758392,-8.6565405,Café Precioso,restaurant
41.1490426,-8.6028075,Caçulinha,restaurant
41.1475541,-8.6032688,O Sítio,restaurant
41.1472147,-8.60379,Murça no Potro,restaurant
41.1467522,-8.6037363,Maria Rita,restaurant
41.1584586,-8.6333333,Restaurante Nova Europa,restaurant
41.1746028,-8.5991878,Braza de Paranhos,restaurant
41.1537036,-8.6077701,Big Ben,restaurant
41.1505863,-8.6312145,Cantina da FLUP,restaurant
41.1602093,-8.6006813,Francesinha Café,restaurant
41.152592,-8.6213595,O Afonso,restaurant
41.1620751,-8.6528135,Restaurante Marisqueira Cufra,restaurant
41.1569675,-8.6418895,bbGourmet Maiorca,restaurant
41.1410032,-8.6127123,Jimão,restaurant
41.1523484,-8.6155089,Cantina da Faculdade de Direito,restaurant
41.1794054,-8.6435364,Churrasquera CL,restaurant
41.146371,-8.6139359,Honorato,restaurant
41.1469606,-8.6136221,Real Indiana,restaurant
41.1488896,-8.6150275,Aduela,restaurant
41.1503768,-8.6113595,Migalhas,restaurant
41.1440089,-8.6171163,Tia Orlanda,restaurant
41.1500073,-8.6146668,Nicolau,restaurant
41.1512695,-8.61089,,restaurant
41.1526081,-8.6082276,D. Quixote,restaurant
41.1521258,-8.6073585,Além-Mar,restaurant
41.1504169,-8.6075335,bbGourmet,restaurant
41.1525976,-8.6076958,Churrasqueira Pinhão,restaurant
41.1510544,-8.6058753,Pasticeria,restaurant
41.1514002,-8.6062993,Dom Duarte,restaurant
41.1508873,-8.6063369,Taberna do Doutor,restaurant
41.1508832,-8.60594,Porto d'Aromas,restaurant
41.1467117,-8.6173813,O Retiro do Jardim,restaurant
41.1603604,-8.6054476,Portugandhi,restaurant
41.1587881,-8.6334779,Teppan - Sushi & Teppanyaki,restaurant
41.181443,-8.609582,Coche Real,restaurant
41.1455758,-8.6134407,Casa Bragança,restaurant
41.1492774,-8.6240241,Bugo Art Burgers,restaurant
41.1565094,-8.6211287,Cervejaria Diu,restaurant
41.1400251,-8.6155914,Bacalhau,restaurant
41.1438807,-8.6182277,Virtudes,restaurant
41.1459471,-8.6100446,Tapabento,restaurant
41.1477795,-8.6133177,Aviz,restaurant
41.1476655,-8.6131955,Book,restaurant
41.1763108,-8.5857108,Yuko Tavern,restaurant
41.1435296,-8.6142499,Cantina 32,restaurant
41.1409211,-8.6165485,Casa da Horta,restaurant
41.149713,-8.6142073,comme Ca,restaurant
41.1484413,-8.6155147,Andor Violeta,restaurant
41.1453439,-8.6126587,Adega Vila Meã,restaurant
41.1492526,-8.6116365,Cervejaria Brasão,restaurant
41.1764432,-8.5856618,O Paparico,restaurant
41.145959,-8.596312,Restaurante Snack-Bar Madureira's,restaurant
41.1468232,-8.6048827,O Tripeiro,restaurant
41.1478143,-8.6075408,Porto Douro,restaurant
41.1483682,-8.6096885,Neptuno,restaurant
41.1488211,-8.609809,Al Forno Baixa,restaurant
41.1501137,-8.6092902,Olhó Papão,restaurant
41.1502793,-8.6093975,Cantinho do Bonjardim,restaurant
41.1501419,-8.6058329,Rampinha,restaurant
41.1481398,-8.6040681,O Zé,restaurant
41.1429264,-8.6175363,As 7 Maravilhas,restaurant
41.1426292,-8.6170193,Tasca Caseira,restaurant
41.1465857,-8.6033032,Salmão,restaurant
41.1465544,-8.6034534,Mesa Antiga,restaurant
41.1407529,-8.6166119,Tram,restaurant
41.1563911,-8.6047518,Bufet Fase,restaurant
41.1460257,-8.6041749,Santa Francesinha,restaurant
41.1506706,-8.6388467,Planetário,restaurant
41.1456093,-8.6296872,Gull,restaurant
41.1602191,-8.628335,Boémia,restaurant
41.1476425,-8.60668,Mengos,restaurant
41.1469508,-8.6101987,Costume Bistrô,restaurant
41.1468418,-8.6102443,Braseira,restaurant
41.1472336,-8.6083628,La Ricotta,restaurant
41.1536923,-8.6096351,Hong Kong Grande Pálacio,restaurant
41.1459569,-8.6101607,Adega Quim,restaurant
41.1459601,-8.6098843,Viseu no Porto,restaurant
41.1460716,-8.6082786,Vicent,attraction
41.1460813,-8.6078751,Machado Joalheiro,attraction
41.1455401,-8.607606,Churrasqueira Brasa,restaurant
41.1480652,-8.6495702,Tasquinha do Ouro,restaurant
41.148445,-8.6490948,Restaurante Tia Aninhas,restaurant
41.1449948,-8.6124943,Casa 31,restaurant
41.1453788,-8.6291829,Taberna do Cais das Pedras,restaurant
41.1453412,-8.6131903,Miss Opo,restaurant
41.1563007,-8.6293174,Buri,restaurant
41.1431646,-8.6149087,Picota,restaurant
41.1496303,-8.6130529,baixa burger,restaurant
41.1481737,-8.5862947,Idian Tandoori Restaurant,restaurant
41.1499998,-8.6146717,Ó Maria,restaurant
41.148421,-8.6140313,Cultura dos Sabores,restaurant
41.1556981,-8.6023039,Portucale Restaurant,restaurant
41.1476042,-8.6153774,Reitoria,restaurant
41.1513262,-8.6138836,Entropia,restaurant
41.1501889,-8.6721308,Pedro Lemos ,restaurant
41.153109,-8.5877856,Bufete Os Compadres,restaurant
41.1586068,-8.5838093,Restaurante Portas de São Roque,restaurant
41.1582954,-8.6331693,Uga Uga,restaurant
41.1560337,-8.6210023,Presunção e Água Benta,restaurant
41.1451816,-8.6135153,Caleireiros,restaurant
41.1464177,-8.603219,Salmãno,restaurant
41.1473706,-8.6152366,Trinkas,restaurant
41.1495098,-8.6049419,A Case do Evaristo,restaurant
41.1487819,-8.586944,A Viela,restaurant
41.1493229,-8.5864679,Eusébio dos Frangos Take-Away,restaurant
41.1493709,-8.5864551,O Indiano,restaurant
41.1630742,-8.572919,S. Gonçalo,restaurant
41.156037,-8.6207784,Restaurante Universal,restaurant
41.1469808,-8.5964343,Nova Era,restaurant
41.1479601,-8.6157847,Mr. Pizza,restaurant
41.1620967,-8.6067632,Chamigo,restaurant
41.1707367,-8.6561367,Restaurante Snack-Bar O Sultão,restaurant
41.1772545,-8.5881673,Churrasqueira Dom Brasas,restaurant
41.1433498,-8.6122805,Taberna do Anjo,restaurant
41.142469,-8.6100568,Restaurante Chinês,restaurant
41.1431576,-8.6127014,Castiço,restaurant
41.1425802,-8.6133851,Português de Gema,restaurant
41.1445146,-8.6116163,Kanpai Downtown,restaurant
41.1431775,-8.613441,Cantinho do Avillez,restaurant
41.1426851,-8.6138519,Barrete Encarnado,restaurant
41.1418372,-8.6135661,Ribermel,restaurant
41.1407125,-8.6124241,Alzira,restaurant
41.1407265,-8.6122629,Escondidinho do Barredo,restaurant
41.1413062,-8.6128745,Portu's,restaurant
41.1431424,-8.6099147,Carmelita Bistrô,restaurant
41.1411992,-8.60861,Beira Douro,restaurant
41.1481237,-8.6493503,Adega Rio Douro - Casa Piedade,restaurant
41.1426735,-8.6162038,Puorto,restaurant
41.1499646,-8.6732605,Museu dos Presuntos,restaurant
41.150158,-8.6171014,Rua de Miguel bombarda,attraction
41.1498961,-8.6145564,Flow,restaurant
41.1731297,-8.6551744,Restaurante Proa de Pereiró,restaurant
41.1464475,-8.6047763,Café Santiago,restaurant
41.1655252,-8.6293883,Essência - Restaurante Vegetariano,restaurant
41.1438311,-8.6022764,Bufete Baia,restaurant
41.1454773,-8.6021331,Antigo Recolhimento da Esperança,attraction
41.1560582,-8.6212242,O Migalhas 2,restaurant
41.1437147,-8.6044584,Adega Ribatejo,restaurant
41.1438066,-8.6045872,A Minhota,restaurant
41.1450516,-8.6041928,Árvore do Mundo,restaurant
41.1451849,-8.6042372,Morfes,restaurant
41.1451636,-8.6040656,Tasca Barriga Negra,restaurant
41.1435761,-8.6024079,Bufete Suíça,restaurant
41.1434114,-8.6027164,Hamburgueria do Bairro,restaurant
41.1434219,-8.6077491,Shiko,restaurant
41.1442108,-8.6058107,Biscuit,restaurant
41.1837265,-8.5999819,O nosso armazém,restaurant
41.143087,-8.6146285,Puro 4050,restaurant
41.1440397,-8.6133825,Mercearia das Flores,restaurant
41.1530658,-8.6083816,Tapabento Trindade,restaurant
41.1458494,-8.6033678,Dama Pé de Cabra,restaurant
41.1408311,-8.6110003,Bacchus Vinci,restaurant
41.1484927,-8.615487,Camefeu,restaurant
41.1529548,-8.6079941,Restaurante Celta Endovélico,restaurant
41.1413553,-8.6129667,Taberna dos Mercadores,restaurant
41.1472406,-8.613968,Tapas na Boca,restaurant
41.1615986,-8.6005267,Lima 5,restaurant
41.1784389,-8.5842239,A Cozinha do Martinho,restaurant
41.1702815,-8.6721024,Núcleo Rural,attraction
41.1602437,-8.6403418,Restaurante Alto Astral,restaurant
41.1604638,-8.6402828,Restaurante Mendi,restaurant
41.1449921,-8.623772,Sardinha Alfândega,restaurant
41.1456992,-8.6033265,Dama Pé de Cabra,restaurant
41.1531675,-8.6381706,Alicantina,restaurant
41.1443122,-8.6122856,daTerra,restaurant
41.1473691,-8.6010676,Euskalduna Studio,restaurant
41.1498947,-8.619869,Oficina,restaurant
41.1603696,-8.6008023,Estrela do Lima,restaurant
41.1465877,-8.6149938,Passeio Dos Clerigos,attraction
41.145264,-8.6157208,Porto.,attraction
41.150647,-8.6100464,Garden Porto,restaurant
41.1452909,-8.6118978,The Cork House,restaurant
41.1477789,-8.6149361,Pizza & Drinks,restaurant
41.1479305,-8.614913,Steak n Shake,restaurant
41.1426026,-8.6167072,Belos Aires,restaurant
41.1585076,-8.6339171,Casa Isa,restaurant
41.1445507,-8.6088179,Dom Miguel,restaurant
41.1747979,-8.5847637,TidBit Ristorante Pizzeria,restaurant
41.143568,-8.6180407,Porta 4,restaurant
41.1573279,-8.6101065,Casa Paraíso,restaurant
41.1529738,-8.6049022,Churrascaria Fogo No Douro,restaurant
41.1545128,-8.6048092,Meidin Pizza,restaurant
41.1463194,-8.6045384,Casa Ribeiro,restaurant
41.1460116,-8.6042618,Baju,restaurant
41.146185,-8.6045515,República dos Cachorros,restaurant
41.1483969,-8.6155466,Zenith,restaurant
41.1455127,-8.6148698,Casa Portuguesa do Pastel de Bacalhau,restaurant
41.1467708,-8.6025997,Pacanha,restaurant
41.1711857,-8.6876575,,restaurant
41.1715005,-8.6878721,Cufra Grill,restaurant
41.1447277,-8.6185195,Árvore,restaurant
41.1463614,-8.5930338,Cozinha do Manel,restaurant
41.1407564,-8.6107394,Casinha São Joao,restaurant
41.1494101,-8.6223284,Rota do Chá,restaurant
41.1403593,-8.6141193,Wine Quay Bar,restaurant
41.1488717,-8.6062625,Saboriccia,restaurant
41.1496745,-8.6158886,Rua Tapas& Music bar,restaurant
41.1472098,-8.6135376,cáBARé,restaurant
41.1486136,-8.6492267,O Antigo Carteiro Restaurante,restaurant
41.1499897,-8.6144126,ÉleBê Centro,restaurant
41.1408139,-8.6128833,Ribeira Square Restaurante,restaurant
41.1471576,-8.6135572,A despensa,restaurant
41.1494012,-8.6129473,Tábua Rasa,restaurant
41.1474916,-8.6133443,Ostras&Coisas Restaurante SA,restaurant
41.1610977,-8.6583032,Lareia - Serralves,restaurant
41.1627577,-8.6621497,Pateo de Tânger,restaurant
41.1605215,-8.6050231,Mamma Mia,restaurant
41.1421115,-8.6181868,Intrigo,restaurant
41.1745332,-8.584161,Topázio,restaurant
41.1491328,-8.6118203,Cervejaria Brasão Aliados,restaurant
41.1477612,-8.608317,Palmeira,restaurant
41.1650347,-8.6110431,Rito,restaurant
41.1476875,-8.6122239,tascö,restaurant
41.1481583,-8.6153437,Solar Moinho de Vento,restaurant
41.1485509,-8.6148807,Solar Moinho de Vento,restaurant
41.1426925,-8.6143937,10 em São Domingos,restaurant
